restaurant_id,online_order,book_table
43563,Yes,No
31643,No,No
44278,No,No
41479,No,No
33165,No,No
36875,No,Yes
23569,No,No
24452,No,No
1844,No,No
1472,Yes,No
20865,Yes,No
16071,No,No
28890,Yes,No
2756,Yes,No
10842,No,No
4230,Yes,No
11393,No,No
1609,No,No
33590,No,No
41392,Yes,No
29558,Yes,No
7511,Yes,No
32670,Yes,No
4872,No,Yes
50582,Yes,No
50977,Yes,No
5392,Yes,No
17831,Yes,No
15457,No,No
32176,Yes,Yes
24667,Yes,Yes
5900,No,No
28627,No,No
14585,No,Yes
44063,Yes,No
41606,Yes,No
32826,Yes,No
14397,No,No
16103,No,No
43642,No,No
3900,Yes,No
8037,Yes,No
40352,Yes,No
25569,Yes,No
40546,No,No
33518,No,No
11041,Yes,No
11415,No,No
9550,Yes,No
20068,Yes,No
39918,Yes,Yes
42762,Yes,No
44894,Yes,No
49609,Yes,No
5800,Yes,No
26738,Yes,No
8811,Yes,No
35996,Yes,No
12621,Yes,No
65,Yes,No
47654,No,No
39890,Yes,No
45872,Yes,Yes
11190,No,No
19865,Yes,No
36957,Yes,No
30619,No,No
49891,No,No
34144,Yes,No
47453,Yes,No
45906,Yes,No
39664,Yes,No
7573,Yes,No
5149,Yes,No
5654,No,No
36495,Yes,No
40648,Yes,No
8530,Yes,No
790,Yes,No
44217,No,No
2934,Yes,No
35018,Yes,No
41589,Yes,No
40291,No,No
2213,Yes,No
27942,No,No
46732,No,Yes
45488,Yes,No
10972,Yes,No
1519,No,No
35798,Yes,No
23220,Yes,No
44695,No,No
17166,Yes,No
8104,No,No
7849,No,No
29459,Yes,Yes
43079,Yes,No
49138,No,No
2259,Yes,No
24260,Yes,No
28991,Yes,No
34970,Yes,No
41669,No,No
19292,Yes,No
3236,Yes,No
33320,Yes,No
50564,Yes,No
40281,Yes,Yes
12545,Yes,No
44236,No,No
28257,No,No
21559,No,No
50610,Yes,Yes
38955,Yes,No
33779,Yes,No
24271,Yes,Yes
3629,No,No
43771,Yes,No
13943,No,No
19530,Yes,No
4441,No,No
27983,No,No
8187,No,No
41293,Yes,No
23485,No,Yes
26515,No,Yes
6625,No,No
22680,No,No
15299,Yes,No
10992,Yes,Yes
33004,Yes,No
24830,No,No
21059,Yes,No
6750,Yes,Yes
3608,Yes,No
30939,No,No
47702,Yes,No
43212,No,Yes
48031,No,No
33620,Yes,No
5027,No,Yes
1737,No,No
24509,No,No
48071,No,No
45867,Yes,No
32681,Yes,No
25115,No,No
12910,Yes,No
14902,Yes,No
14733,Yes,No
31035,No,No
26691,Yes,Yes
44701,Yes,Yes
47049,Yes,No
30395,Yes,No
9794,Yes,No
10759,No,No
12389,Yes,Yes
29816,Yes,No
32221,No,No
42438,Yes,No
30154,Yes,No
257,Yes,No
33536,No,No
20666,Yes,No
98,No,No
39212,Yes,No
38898,No,No
40570,Yes,No
32566,Yes,No
31998,No,Yes
40001,Yes,No
12336,Yes,No
49001,Yes,No
39534,Yes,Yes
22368,Yes,No
27752,Yes,No
2445,Yes,No
10969,No,No
47735,No,No
50513,Yes,No
24360,No,No
33878,No,No
21362,Yes,No
12575,No,Yes
36768,Yes,Yes
23920,Yes,No
43437,Yes,No
22254,Yes,No
5866,No,No
45518,No,No
21539,No,No
21976,Yes,No
36986,Yes,No
33760,No,No
152,Yes,No
12846,No,No
50494,Yes,No
13267,No,No
24228,Yes,No
32302,Yes,No
20845,Yes,No
50943,No,No
42954,No,No
45542,No,No
49755,No,No
39305,No,No
48778,Yes,Yes
19330,No,Yes
44129,Yes,No
49693,Yes,No
20582,Yes,No
17222,Yes,No
8805,Yes,No
3287,No,No
22032,Yes,Yes
10903,Yes,No
5934,Yes,No
6420,No,No
21652,No,No
35595,Yes,No
36087,No,No
47841,No,No
23192,Yes,No
38006,Yes,Yes
199,Yes,No
43671,No,No
6627,No,No
33002,Yes,No
391,Yes,No
7137,Yes,Yes
39988,Yes,No
15993,No,No
42345,Yes,No
42991,Yes,No
46652,No,No
38259,No,No
28399,No,No
37152,No,No
546,Yes,No
45751,Yes,No
34744,No,Yes
48333,No,No
41069,No,No
2609,Yes,No
24234,Yes,No
40490,No,Yes
44919,Yes,Yes
33820,No,No
25058,No,No
16608,Yes,No
30060,Yes,No
1893,No,No
42228,No,No
7357,Yes,No
2,Yes,No
47205,No,Yes
29322,Yes,Yes
12383,No,No
49756,No,No
4650,No,No
30928,No,No
9515,No,No
8448,Yes,No
32089,No,No
48146,Yes,No
38472,Yes,No
40254,No,No
40226,Yes,No
45673,Yes,No
6065,No,Yes
39190,No,Yes
14909,Yes,No
23546,No,No
16603,Yes,No
23773,Yes,No
13957,No,No
32144,No,No
31684,No,Yes
14388,No,No
11660,Yes,No
28942,Yes,No
39841,Yes,No
29477,Yes,No
5042,No,No
6124,Yes,Yes
35347,Yes,No
26328,Yes,No
38805,No,No
37723,No,Yes
18613,Yes,No
25120,No,No
29959,Yes,Yes
43703,No,No
44663,No,No
12258,No,No
13467,Yes,Yes
35506,Yes,No
15224,No,No
34561,Yes,No
19496,Yes,No
34957,Yes,No
9305,Yes,No
24518,No,No
50854,No,No
6557,No,Yes
14626,No,No
27718,Yes,No
19148,No,No
44503,No,No
10649,No,No
26821,Yes,No
10145,Yes,No
38721,Yes,No
48461,Yes,No
30648,No,No
20544,No,No
48961,Yes,No
38036,Yes,No
14931,Yes,No
26412,No,No
42125,Yes,No
24092,Yes,No
8550,Yes,No
36995,Yes,Yes
15782,Yes,Yes
29101,No,No
44981,Yes,No
28756,Yes,No
41151,Yes,Yes
28218,Yes,No
2858,Yes,No
34605,Yes,No
4178,Yes,No
50617,Yes,No
18771,Yes,Yes
11938,Yes,No
31254,Yes,No
47924,No,No
7193,No,No
13118,No,No
15714,No,No
10219,Yes,No
15869,Yes,No
4135,Yes,No
34138,Yes,No
42459,Yes,No
27929,No,No
14808,Yes,No
3068,No,No
36511,No,No
41619,Yes,No
42830,Yes,No
47371,Yes,No
3901,Yes,No
21159,Yes,No
35601,Yes,No
17245,Yes,No
28988,Yes,No
2734,Yes,No
27348,Yes,No
9361,Yes,No
12694,Yes,No
8024,Yes,No
4865,Yes,No
32354,Yes,No
34640,No,No
26394,No,No
378,Yes,No
30227,Yes,No
48311,Yes,No
5029,No,Yes
7433,Yes,No
8579,Yes,Yes
46480,No,No
46617,No,No
12339,Yes,No
3954,No,No
18859,Yes,No
30013,Yes,No
27448,Yes,No
37293,Yes,No
50122,Yes,No
46521,No,No
16306,Yes,No
32973,Yes,No
50301,Yes,No
49453,Yes,No
14867,Yes,No
38689,No,Yes
50012,No,No
28875,No,No
8683,Yes,No
3083,No,No
10343,No,No
29109,No,No
51438,No,No
25945,No,No
40715,No,No
4101,Yes,No
11480,No,Yes
27298,Yes,No
2290,Yes,No
12780,Yes,No
46191,Yes,No
30571,No,No
25510,Yes,No
45545,Yes,No
25671,Yes,No
26627,Yes,No
2387,Yes,No
40533,No,No
22182,Yes,No
11669,Yes,Yes
4648,Yes,No
32303,Yes,No
12020,No,No
41631,Yes,No
17664,Yes,No
5657,No,No
18727,Yes,No
38382,No,No
51382,No,No
18054,No,No
15753,No,No
2443,Yes,No
20769,No,No
32500,Yes,Yes
9234,Yes,No
26148,No,No
2221,Yes,No
11549,No,Yes
18876,Yes,No
47719,Yes,No
6920,Yes,No
36852,No,No
13550,Yes,No
20795,No,No
35078,Yes,No
278,Yes,Yes
13968,Yes,No
49638,No,No
17714,Yes,No
35758,Yes,No
43266,No,No
32631,Yes,No
2417,No,No
48210,No,Yes
49029,Yes,No
13220,No,Yes
16966,No,No
5413,Yes,No
15856,Yes,No
34529,No,No
21973,Yes,No
45251,Yes,No
17770,Yes,No
27389,Yes,No
5379,Yes,No
47805,Yes,No
20554,No,No
12108,Yes,No
22990,Yes,No
50796,No,No
12854,No,No
29286,Yes,Yes
22822,Yes,No
50600,No,No
50583,No,No
18248,No,No
22896,No,No
47488,Yes,No
9113,Yes,No
25525,Yes,No
5977,No,No
9634,No,No
20696,No,No
49804,No,No
44082,Yes,No
51098,Yes,Yes
26553,Yes,No
13822,No,No
1486,Yes,No
15340,No,No
15861,Yes,No
19042,No,No
46012,No,No
25728,No,No
1373,Yes,No
1210,Yes,No
43998,No,No
51503,Yes,No
46776,Yes,No
37377,No,No
35024,Yes,No
50233,Yes,No
11800,Yes,No
9228,Yes,No
19800,Yes,No
41186,No,No
36541,No,No
9183,Yes,No
25354,Yes,No
11169,Yes,No
41920,Yes,No
47308,Yes,No
47121,Yes,No
6693,Yes,Yes
23885,Yes,No
385,Yes,No
18660,No,Yes
24913,Yes,No
46203,Yes,No
1689,Yes,No
42901,No,No
35441,Yes,No
36785,Yes,No
4477,Yes,No
15551,No,No
8036,Yes,No
48987,No,No
33233,No,No
39745,Yes,No
14078,Yes,No
22745,No,No
36124,No,No
8289,No,Yes
30310,No,No
37768,No,No
6980,No,No
1664,Yes,No
22015,Yes,No
46234,No,No
41701,No,No
43708,No,No
16873,Yes,No
11609,No,No
35328,Yes,No
29633,Yes,No
16012,Yes,No
27562,Yes,No
7119,Yes,No
6578,Yes,No
4232,No,No
17488,Yes,Yes
20990,Yes,No
24784,Yes,No
21923,Yes,No
35407,Yes,No
13810,No,No
37114,No,No
19638,Yes,No
46245,Yes,No
29979,Yes,Yes
7309,No,No
13947,Yes,No
24142,Yes,No
18384,Yes,No
34554,No,No
4854,Yes,No
29281,Yes,Yes
35948,Yes,No
42055,Yes,No
37715,No,Yes
11298,Yes,No
5922,No,No
33428,No,No
11990,No,No
27512,Yes,No
21014,No,No
35647,Yes,No
16644,Yes,No
38493,Yes,No
3641,Yes,No
6233,No,No
6179,Yes,No
18421,No,No
18230,No,No
36331,No,No
29511,Yes,No
50812,No,No
3812,Yes,No
18199,No,No
49856,No,No
48670,Yes,No
33724,Yes,No
1170,Yes,No
15813,Yes,No
26489,Yes,Yes
8154,No,No
40720,No,No
15387,No,No
227,Yes,No
43045,No,No
9918,Yes,No
12308,Yes,No
40836,No,No
37786,Yes,No
26072,Yes,No
10908,Yes,No
3534,Yes,No
9505,Yes,No
36553,Yes,No
18398,No,No
6653,No,No
21008,Yes,No
18314,Yes,No
40672,Yes,Yes
6950,Yes,No
32108,Yes,Yes
26742,Yes,No
38214,No,No
30601,No,No
11731,Yes,No
50438,Yes,No
28161,Yes,Yes
33813,Yes,Yes
18008,Yes,No
31762,No,No
18111,Yes,No
41608,Yes,No
35890,Yes,No
5668,No,No
19168,No,No
8904,Yes,No
2490,Yes,No
29140,No,No
30342,Yes,No
25162,Yes,Yes
20289,Yes,No
14776,Yes,No
16446,Yes,No
33177,Yes,No
50005,No,No
26662,Yes,No
51173,No,No
46689,No,No
36088,No,No
37190,No,Yes
45938,No,No
22474,Yes,No
21605,No,No
44819,Yes,No
23430,Yes,No
14386,No,No
5792,Yes,No
51463,Yes,No
13663,Yes,No
34491,No,No
38624,Yes,Yes
34441,Yes,No
50759,No,No
6654,No,No
43040,Yes,No
49285,Yes,Yes
45228,Yes,No
38035,Yes,No
14658,Yes,No
25546,Yes,No
9096,Yes,No
11196,No,No
334,Yes,No
34418,No,No
31729,Yes,No
42049,Yes,No
42064,Yes,No
13611,Yes,No
35725,Yes,Yes
23457,No,Yes
32351,Yes,No
48885,No,No
46355,Yes,No
3403,Yes,No
1174,Yes,No
20279,Yes,No
37683,No,Yes
17562,No,No
29578,Yes,No
39660,Yes,No
31878,No,No
44444,Yes,Yes
47048,Yes,No
2203,No,No
21306,No,Yes
1175,Yes,No
27352,Yes,No
37550,Yes,Yes
46277,Yes,No
4813,No,Yes
40781,No,Yes
46478,No,No
13019,No,No
41439,Yes,No
4056,Yes,No
39801,Yes,No
6834,Yes,No
11713,Yes,No
20118,Yes,No
6786,Yes,Yes
42967,No,No
885,Yes,No
24105,Yes,No
13955,Yes,No
1055,Yes,No
15296,No,No
36528,No,No
800,Yes,No
23514,Yes,No
17682,Yes,No
11207,No,No
50926,Yes,No
29080,Yes,No
34929,Yes,No
38633,No,No
24684,Yes,Yes
41377,Yes,No
3706,No,No
13157,No,No
31221,No,No
38840,No,No
14787,Yes,No
20276,Yes,No
45552,Yes,No
28743,Yes,No
679,Yes,No
12816,No,No
1536,No,No
4205,Yes,No
28777,No,No
42526,Yes,Yes
47251,No,No
48751,Yes,No
7866,No,No
11695,Yes,No
26917,Yes,No
17570,No,No
20155,Yes,No
21198,Yes,No
37398,No,No
50912,Yes,No
3784,Yes,No
27771,Yes,No
9098,Yes,No
24714,No,Yes
2553,Yes,No
47082,No,No
14475,No,No
18299,Yes,No
5155,Yes,No
27030,Yes,No
49532,No,No
35005,Yes,No
39334,No,Yes
31559,No,No
63,No,Yes
41265,Yes,No
33270,Yes,No
11722,Yes,No
39914,No,No
19343,No,No
32044,Yes,Yes
8628,Yes,No
3354,Yes,No
16816,Yes,Yes
46723,No,No
5815,Yes,No
35421,Yes,No
35385,Yes,No
34635,No,No
37273,Yes,Yes
21034,Yes,Yes
27223,Yes,Yes
3242,Yes,No
46635,Yes,No
18546,Yes,No
76,Yes,No
27669,No,No
47864,No,Yes
43718,No,Yes
21487,Yes,No
13769,No,No
3306,No,No
24572,No,No
39906,Yes,No
44573,No,No
5425,Yes,No
5093,No,No
43031,Yes,Yes
4446,Yes,No
14218,No,No
5739,No,No
33953,Yes,Yes
23132,No,No
19725,Yes,No
18296,Yes,No
36687,No,Yes
17671,Yes,No
16404,Yes,No
48086,No,No
50731,No,No
32536,Yes,No
30090,Yes,No
39916,No,No
38281,No,No
26614,No,No
41114,No,No
13140,No,No
7639,Yes,No
13417,Yes,No
12657,Yes,Yes
26487,Yes,Yes
47703,Yes,No
14177,No,No
13350,No,No
47940,No,No
41629,Yes,No
11857,Yes,Yes
41081,No,No
10129,No,No
299,Yes,No
49262,Yes,No
35130,Yes,No
14881,Yes,No
31057,No,Yes
27745,Yes,No
28496,Yes,No
29601,Yes,Yes
41386,Yes,No
35212,Yes,No
136,No,No
22623,No,No
11725,Yes,No
16416,Yes,No
34510,Yes,No
31034,No,No
37186,No,No
48776,No,No
14749,Yes,No
41553,Yes,No
4580,Yes,No
36747,Yes,Yes
45662,Yes,No
10048,No,No
9669,No,No
28317,Yes,Yes
5862,No,No
15664,No,Yes
25252,Yes,No
42597,Yes,No
22658,Yes,No
37203,Yes,No
35044,Yes,No
24465,No,No
44455,Yes,No
20746,No,No
36888,No,No
9147,Yes,No
134,No,No
18226,No,No
15883,Yes,No
13582,Yes,No
20453,Yes,Yes
46899,Yes,No
44192,Yes,Yes
49417,No,No
37287,Yes,No
17220,Yes,No
25501,Yes,No
5299,Yes,No
4631,Yes,No
26342,Yes,No
12501,No,No
28880,No,No
21813,No,No
29102,No,No
36109,No,No
4825,Yes,No
13165,No,No
45877,No,Yes
19612,Yes,No
9003,Yes,No
3082,No,No
45563,Yes,No
33930,No,Yes
45689,No,No
17890,Yes,Yes
23511,Yes,No
8744,Yes,No
24333,No,No
19924,Yes,No
21460,No,No
48516,No,No
11351,No,No
37144,Yes,Yes
43532,No,No
36697,Yes,Yes
40840,No,No
16374,No,No
48465,Yes,No
8052,Yes,No
1256,Yes,No
49982,Yes,No
29030,Yes,No
20255,Yes,No
35851,Yes,No
8341,Yes,No
49455,Yes,No
19052,Yes,No
2572,Yes,No
37753,Yes,No
14754,Yes,No
26023,No,No
10774,No,No
15712,Yes,No
29289,Yes,Yes
26825,Yes,No
6913,Yes,No
5345,Yes,No
38199,Yes,No
44382,Yes,No
24158,Yes,No
49594,Yes,No
23652,Yes,No
16200,Yes,No
24910,Yes,No
6305,Yes,Yes
39876,No,No
2360,No,No
7013,No,No
39225,No,No
27112,Yes,No
48785,Yes,Yes
4131,Yes,Yes
22265,Yes,No
29804,Yes,No
16184,No,No
34850,Yes,No
44831,Yes,No
50822,Yes,No
27651,Yes,No
7456,Yes,No
22905,No,No
46172,No,No
25322,Yes,No
33252,No,No
15306,Yes,No
15286,No,No
28288,No,No
28268,Yes,No
12120,Yes,Yes
33118,Yes,No
19553,Yes,No
44356,No,No
34539,No,No
13572,Yes,No
42260,Yes,No
28204,Yes,No
32389,Yes,No
48639,Yes,No
51472,Yes,No
35265,Yes,No
24954,No,No
5123,Yes,No
877,No,No
31271,Yes,No
22256,No,No
15558,No,No
27042,Yes,Yes
6767,No,No
9715,Yes,No
22937,No,No
9575,No,No
12322,Yes,No
29280,No,Yes
26806,Yes,No
29720,Yes,No
9815,Yes,No
9338,Yes,No
5258,Yes,No
15193,Yes,No
9396,Yes,No
35534,Yes,No
50886,No,No
38099,No,No
3801,No,No
28397,Yes,Yes
14863,Yes,No
42093,No,No
28141,No,No
6790,Yes,No
48368,No,No
21010,No,No
44769,Yes,Yes
32991,Yes,No
31514,Yes,No
40979,Yes,No
4462,Yes,No
19849,Yes,No
6142,Yes,Yes
17495,No,Yes
38220,No,No
27637,Yes,No
49560,Yes,No
12160,Yes,No
6632,No,No
32526,Yes,No
41844,Yes,No
47712,Yes,Yes
33868,Yes,No
35425,Yes,No
34059,Yes,No
10245,Yes,No
43151,Yes,Yes
34188,Yes,No
18113,Yes,No
39393,No,Yes
12652,Yes,No
40511,Yes,Yes
37611,No,Yes
15439,Yes,No
36984,No,No
32724,Yes,No
39829,No,No
13655,Yes,No
44711,Yes,Yes
33634,Yes,Yes
46131,No,No
12702,Yes,Yes
16144,No,No
39353,No,No
6385,Yes,No
19632,Yes,No
29989,Yes,No
49284,Yes,No
30231,Yes,No
18013,Yes,No
4339,No,No
38421,No,No
4745,Yes,No
42119,Yes,No
33768,No,No
47558,Yes,No
43138,No,No
8965,Yes,No
32579,Yes,No
14548,Yes,No
10507,No,No
45709,No,No
44883,Yes,Yes
285,Yes,No
33744,Yes,No
27359,Yes,No
638,No,No
27838,No,No
28762,Yes,No
23267,No,No
21971,Yes,No
44518,Yes,No
29335,No,No
48240,Yes,No
17556,No,Yes
10828,No,No
46629,Yes,No
36578,Yes,Yes
2654,Yes,No
9908,Yes,No
16690,Yes,No
29939,Yes,No
3383,No,No
12002,No,No
36750,Yes,No
50151,Yes,No
29613,Yes,No
25005,Yes,No
19010,Yes,No
14739,Yes,No
22654,Yes,No
16045,No,No
32497,Yes,No
12557,No,No
10790,No,No
4512,No,No
50167,Yes,Yes
18577,Yes,No
44187,Yes,No
37590,No,Yes
4639,Yes,No
6684,No,Yes
13697,No,No
2315,No,No
8616,Yes,No
50702,No,No
13575,Yes,No
26695,Yes,No
18231,No,No
49069,Yes,No
1925,No,No
26032,Yes,No
7213,No,No
7591,Yes,No
29426,Yes,No
5225,Yes,No
21302,Yes,Yes
33489,No,No
20647,Yes,No
28214,Yes,No
12798,No,No
10855,No,No
12827,Yes,No
48502,No,No
23417,No,No
19213,No,No
34424,No,No
11437,No,No
34945,Yes,No
29538,Yes,No
39340,No,Yes
41845,No,No
37411,No,No
44221,No,Yes
7629,Yes,No
28962,Yes,No
19378,No,No
11785,Yes,No
33155,No,No
9158,Yes,No
49156,Yes,No
29981,Yes,Yes
28885,No,No
25763,No,No
22924,No,No
22383,Yes,No
19124,Yes,Yes
33170,Yes,No
49640,Yes,Yes
14199,No,No
10109,No,No
13126,No,No
27882,No,No
14627,Yes,No
29244,No,Yes
46470,Yes,No
30127,Yes,No
2816,Yes,No
9606,No,No
26177,Yes,No
36740,Yes,Yes
28696,Yes,No
35664,Yes,No
17951,Yes,No
50638,No,No
1634,No,No
5474,Yes,No
41512,No,No
21184,No,No
4513,Yes,No
32960,Yes,No
32010,Yes,Yes
41272,Yes,No
46424,No,No
28461,Yes,No
13156,No,No
9105,Yes,No
17147,Yes,Yes
10709,Yes,No
16974,No,Yes
30959,No,No
23073,No,No
18765,Yes,No
9768,Yes,No
36654,No,No
6836,Yes,No
8736,Yes,No
3231,Yes,No
35565,Yes,No
30441,Yes,No
6159,No,No
25781,No,No
16744,Yes,No
21686,No,No
3252,Yes,No
27522,Yes,No
46021,No,No
22270,Yes,No
13248,No,Yes
51702,No,No
43631,No,No
31487,Yes,No
28394,Yes,Yes
21140,No,No
25287,Yes,No
18002,Yes,Yes
160,Yes,No
41284,Yes,No
45898,Yes,No
20327,No,No
3549,No,No
17611,No,No
42908,No,No
48284,Yes,No
39548,Yes,No
21369,Yes,No
22173,Yes,No
48929,Yes,No
47824,No,No
38411,Yes,No
32272,Yes,No
2457,No,No
35344,Yes,No
53,Yes,No
33920,No,Yes
5745,No,No
36934,Yes,No
45855,No,No
43380,No,No
2364,No,No
22537,Yes,No
21108,Yes,No
31765,Yes,No
43103,No,No
35249,Yes,No
24046,No,No
26903,Yes,No
36194,No,No
29104,Yes,No
5674,No,No
46697,Yes,No
24681,No,Yes
12283,Yes,No
51649,No,Yes
50775,No,No
40258,No,Yes
8195,No,No
20809,Yes,No
49712,Yes,No
30982,No,No
44466,Yes,No
15926,Yes,Yes
50540,No,No
17524,No,Yes
26645,Yes,No
49478,No,No
45560,Yes,Yes
3727,No,No
11293,No,No
51365,No,No
49362,No,No
14171,Yes,No
10314,Yes,No
50078,No,Yes
11106,Yes,No
33044,Yes,No
44288,No,No
16077,No,No
45230,Yes,Yes
153,Yes,No
19308,No,Yes
48984,Yes,No
6176,Yes,Yes
43994,Yes,No
17138,No,No
4565,Yes,No
25950,Yes,No
2880,Yes,No
19250,No,No
45945,No,No
42334,Yes,No
46125,No,No
1337,Yes,No
6843,Yes,No
20319,Yes,No
20937,No,No
23249,Yes,No
23462,Yes,Yes
28258,No,No
6915,Yes,No
4121,Yes,Yes
46868,Yes,No
29787,Yes,No
37653,No,No
18833,No,No
10133,Yes,No
45584,Yes,No
42255,Yes,No
45748,Yes,No
8555,Yes,No
43003,No,No
6614,No,Yes
2619,Yes,No
4427,No,No
20157,Yes,No
4491,Yes,No
8010,No,No
45599,No,No
1117,Yes,No
39533,Yes,No
8317,Yes,No
34215,Yes,No
9077,Yes,No
22816,Yes,No
9318,Yes,Yes
12852,Yes,No
46390,Yes,No
24708,Yes,Yes
39530,Yes,No
48901,Yes,No
26787,Yes,No
34908,Yes,No
36335,No,No
27238,Yes,No
14461,No,No
15786,Yes,No
2929,Yes,No
37945,Yes,No
11493,No,No
27750,Yes,No
13073,Yes,Yes
33022,Yes,Yes
14263,Yes,No
34372,No,No
48823,No,No
38863,No,No
22094,Yes,No
44033,Yes,No
7520,Yes,No
29951,Yes,No
4359,Yes,No
35699,Yes,No
28131,Yes,No
4963,No,Yes
39575,Yes,No
482,Yes,No
11067,Yes,No
22192,Yes,No
50531,Yes,No
39346,No,No
28334,Yes,Yes
2564,Yes,No
29828,Yes,No
16890,No,No
51618,Yes,No
35623,Yes,No
48663,Yes,No
34477,Yes,No
21493,No,No
684,Yes,No
24237,Yes,No
35793,Yes,No
47486,Yes,No
574,Yes,No
45645,No,No
25619,No,No
35886,Yes,No
22964,Yes,No
24743,Yes,No
21199,Yes,No
25267,Yes,No
7405,Yes,No
21461,No,No
37564,No,Yes
50019,No,No
11317,No,No
42502,Yes,No
29545,Yes,No
2108,Yes,No
22136,Yes,No
39103,No,No
28676,No,No
49885,Yes,No
38444,No,No
49315,Yes,No
6584,Yes,No
20568,No,No
27094,Yes,No
13080,Yes,No
11636,Yes,No
5621,Yes,No
41004,Yes,No
29952,Yes,No
805,Yes,No
44531,Yes,No
50200,No,No
12448,No,No
22597,No,No
3096,No,No
48981,Yes,No
25973,No,No
25666,No,No
49186,Yes,No
19743,Yes,No
8384,Yes,No
20176,Yes,No
6989,No,No
14657,Yes,No
39605,Yes,No
49104,Yes,No
8572,Yes,No
22263,Yes,No
631,Yes,No
48868,Yes,No
24964,No,No
16105,No,No
44419,No,No
20182,Yes,No
21969,Yes,No
35757,Yes,No
50073,No,Yes
47839,No,No
43892,No,No
29990,Yes,No
32564,Yes,No
14822,Yes,No
19671,Yes,No
19932,Yes,No
11680,Yes,No
28222,Yes,No
240,No,No
30487,Yes,No
6391,No,No
37067,No,No
39557,Yes,No
39078,No,No
11410,No,No
50667,No,No
50552,Yes,No
46184,Yes,No
38305,No,No
29946,Yes,Yes
214,Yes,No
44085,Yes,No
46124,No,Yes
50787,No,No
51547,No,No
23305,Yes,No
30726,No,No
25858,Yes,No
44310,No,No
41650,No,No
8427,Yes,No
20132,Yes,No
20585,Yes,No
35692,Yes,No
48258,Yes,Yes
37300,No,No
33538,No,No
10250,Yes,No
21861,Yes,No
36269,No,No
31368,Yes,No
5552,Yes,Yes
3223,No,No
21606,No,No
33377,No,No
49857,Yes,No
30731,No,No
42442,Yes,No
46670,No,No
29476,Yes,No
44342,No,No
23987,Yes,No
8666,Yes,No
3087,No,No
16851,Yes,No
14275,Yes,No
17296,No,No
24809,Yes,No
6052,No,No
7821,No,No
13555,Yes,No
4569,Yes,No
31912,No,No
43072,No,No
7347,Yes,No
49471,Yes,No
14680,Yes,No
46577,No,No
38539,No,No
14692,Yes,No
40959,Yes,No
13784,No,No
